film,box_office_worldwide,total_nominations,total_wins
Toy Story,394436586,6,0
A Bug's Life,363258859,3,0
Toy Story 2,511358276,3,0
"Monsters, Inc.",528773250,5,1
Finding Nemo,871014978,5,1
The Incredibles,631442092,5,2
Cars,461983149,3,0
Ratatouille,623726085,6,1
WALL-E,521311860,7,1
Up,735099082,6,2
Toy Story 3,1066969703,6,2
Cars 2,559852396,1,0
Brave,538983207,2,1
Monsters University,743559607,1,0
Inside Out,857611174,3,1
The Good Dinosaur,332207671,1,0
Finding Dory,1028570889,1,0
Cars 3,383930656,1,0
Coco,814641172,3,2
Incredibles 2,1242805359,2,0
Toy Story 4,1073394593,3,1
Onward,141940042,2,0
Soul,121903885,5,2
Luca,51112314,2,0
Turning Red,21813358,2,0
Lightyear,226425420,1,0
Elemental,496444308,2,0
Inside Out 2,1698030965,1,0
